"Non Component Description","Color Code","Type","Location ID","Shift ID","Depth Top","Depth Base","Description","Legend Code","Geology Code","Geology Code 2","Stratum Reference","Remarks","Soil Name","USCS","AASHTO","Consistency Min","Consistency Max","Density Min","Density Max","Color","Moisture","Plasticity","Soil Particle Size","Soil Particle Angularity","Additional Description","Geological formation","Rock Name Qualifier","Rock Name","Rock Grain Size","Bedding Min","Bedding Max","Weathering","Rock Hardness Min","Rock Hardness Conjunction","Rock Hardness Max","Fracture Spacing Min","Fracture Spacing Max","Boundary"
"","","Soil","SB-10","","7.00","40.00","Lean CLAY with SAND (CL), stiff, grayish brown, WASTE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-24","","15.00","20.00","highly weathered, very soft, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-18","","14.00","20.00","dry, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-46","","13.50","15.00","Lean CLAY (CL), dry, NATIVE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Rock","SB-13","","30.00","30.90","SEDIMENTARY ROCK (SHALE), dark gray (5YR 4/1), BEDROCK","BEDROCK","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-29","","0.00","5.00","GRAVELLY Lean CLAY with SAND (CL), dark grayish brown (10 YR 4/2), dry, hard, medium plasticity, angular GRAVEL up to 2"", NATIVE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Rock","SB-24","","50.00","60.10","moderately weathered, moderately hard, gray (10 YR 5/1), pulverized, some silica deposits, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-9","","10.00","19.30","Lean CLAY with SAND (CL), stiff, greenish gray (GLEY 5/1 5GY), dry, fine to medium SAND, medium plasticity, cemented, NATIVE","CL","","","","","Gravelly Lean CLAY with sand","CL","","","","","","","dry","medium plasticity","","","","","","","","","","","","","","","","None"
"","","Soil","SB-23","","10.00","15.00","Silty SAND with GRAVEL (SM), dense, brownish yellow and gray, low plasticity, WASTE","SM","","","","","","SM","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-5","","15.00","15.70","reddish brown (5 YR 4/3), dense, moist, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
