"Non Component Description","Color Code","Type","Location ID","Shift ID","Depth Top","Depth Base","Description","Legend Code","Geology Code","Geology Code 2","Stratum Reference","Remarks","Soil Name","USCS","AASHTO","Consistency Min","Consistency Max","Density Min","Density Max","Color","Moisture","Plasticity","Soil Particle Size","Soil Particle Angularity","Additional Description","Geological formation","Rock Name Qualifier","Rock Name","Rock Grain Size","Bedding Min","Bedding Max","Weathering","Rock Hardness Min","Rock Hardness Conjunction","Rock Hardness Max","Fracture Spacing Min","Fracture Spacing Max","Boundary"
"","","Soil","SB-25","","50.00","","Terminated @ 50.0 ft bgs because of SPT and coring refusal. GW not encountered. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Rock","SB-22","","12.00","25.00","IGNEOUS ROCK (ANDESITE), highly weathered, soft, dry, light reddish gray (2.5 YR 7/1), NATIVE BEDROCK","BEDROCK","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-25","","7.50","10.00","SANDY lean CLAY (CL), dark gray (10 YR 4/1), hard, dry, some weathered ANDESITE, NATIVE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-26","","7.50","","medium dense, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-9","","15.00","19.30","medium stiff, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-45","","30.10","35.00","very dense","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-38","","45.00","51.50","SEDIMENTARY ROCK (SHALE), slightly weathered, hard, very dark greenish gray (GLEY 1 3/10Y), BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Rock","SB-5","","46.00","50.00","(BEDROCK) hard, (4/5 BG), fractured and weathered, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-11","","60.00","65.00","Fine SAND, damp, light greenish gray (CLEY 8/5BG),, NATIVE","","","","","","Lean CLAY with sand","CL","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-31","","5.00","67.00","IGNEOUS ROCK (ANDESITE), moderately weathered, moderately hard, dry, unaltered fragmented vesicular, BEDROCK","BEDROCK","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-39","","25.00","29.00","Well graded SAND with CLAY and GRAVEL (SC), medium dense, brown (7.5 YR 4/4), NATIVE","SC","","","","","","SC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-7","","2.50","5.00","SANDY Lean CLAY (CL), stiff, greenish gray (GLEY 6/1 10Y), moist, fine to coarse SAND, medium plasticity, WASTE","CL","","","","","Gravelly Lean CLAY with sand","CL","","","","","","","dry","medium plasticity","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-9","","19.30","27.00","CLAYEY SAND (SC), medium dense, moist, greenish gray (GLEY 6/1 5GY), medium plasticity, NATIVE","SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","","SB-42","","50.00","","Terminated @ 50.0 ft bgs because of SPT and coring refusal. GW encountered @ 13.0 ft bgs ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Soil","SB-2","","25.00","33.00","light yellowish brown (2.5 YR 6/3), dry, cemented, BEDROCK ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-45","","40.00","50.00","IGNEOUS ROCK (ANDESITE), highly weathered, soft, BEDROCK","BEDROCK","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-26","","15.00","70.00","IGNEOUS ROCK (ANDESITE), gray, moderately hard, BEDROCK","BEDROCK","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Rock","SB-21","","20.00","45.00","IGNEOUS ROCK (ANDESITE), moderately weathered, moderately hard, BEDROCK","BEDROCK","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","","SB-5","","60.42","","Terminated @ 60.42 ft bgs because of SPT and coring refusal. GW not encountered. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Soil","SB-16","","0.00","2.50","CLAYEY GRAVEL with SAND (GC), strong brown (7.5 YR 4/6), dry, WASTE","GC","","","","","","GC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-22","","10.00","12.00","GRAVELLY Lean CLAY (CL), dry, hard, weathered ANDESITE fragments, NATIVE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","","SB-14","","26.50","","Terminated @ 26.50 ft bgs as planned. GW not encountered. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Soil","SB-12","","55.00","60.00"," very hard, grayish green (GLEY 4/5G 4/1), medium plasticity, < 1"" GRAVEL, cemented, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-38","","20.00","25.00","dense, olive gray (5Y 5/2), wet, medium to coarse SAND, angular GRAVELS, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-1","","15.00","19.00","light yellowish brown (10 YR 6/4), BEDROCK ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-16","","10.00","15.00"," hard, brown (7.5 YR 4/2), slightly moist, little fine SAND, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-46","","50.00","51.30"," BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-12","","60.00","65.00","very dark greenish gray (GLEY 3/1 10GY), < 3"" angular GRAVEL, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-17","","5.00","10.00","SILT (ML) hard, pale brown (2.5 Y 7/4), fragments of ROCK, pulverized, NATIVE","ML","","","","","","ML","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-29","","11.50","","Terminated @ 11.5 ft bgs as planned, GW not encountered. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Soil","SB-32","","55.00","65.00","Lean CLAY (CL), hard, greenish gray (GLEY 6/5G /1), dry, NATIVE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-1","","30.10","35.00","pale brown (10 YR 6/3), dry, medium to high plasticity when hydrated, BEDROCK ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-43","","7.50","10.00","very dense, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-32","","25.00","35.00","Silty SAND (SM), medium dense, light gray (5 Y 7/1), dry, trace gravel is SANDSTONE,  moderately cemented, WASTE","SM","","","","","","SP","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-36","","7.50","10.00","stiff, dark yellowish brown (10 YR 4/4), moist, GRAVEL dark gray, some SAND, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-44","","50.00","51.50"," some GRAVEL, strong brown (7.5 YR 4/6), dry to moist, medium to coarse SAND, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","","SB-35","","36.50","","Terminated @ 36.5 ft bgs as planned, GW encountered @ 23.3 ft bgs.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Soil","SB-10","","110.00","120.00","Gray, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-40","","50.20","","Terminated @ 50.2 ft bgs because of SPT and coring refusal. GW encountered @ 29 ft bgs. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","SB-7","","30.00","35.00","Lean CLAY with SAND, damp, hard pinkish gray (5 YR 6/2), fine to medium SAND, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-24","","30.00","35.00","some white salt, likely calcium carbonate, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-34","","40.00","43.00","Poorly graded SAND with GRAVEL (SP), very dense, dark yellowish brown (10 YR 3/6), secondary color: dark grayish brown (10 YR 4/2), wet, coarse to fine angular GRAVEL, medium to coarse SAND, weak cementation, NATIVE","SP","","","","","","SP","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Rock","SB-34","","45.00","50.00","wet, black, unaltered, fragmented, vesicular, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-11","","16.50","30.00","gray (10 YR 6/1), moist, fine sand, WASTE","","","","","","Gravelly Lean CLAY with sand","CL","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-46","","40.00","51.30","IGNEOUS ROCK (ANDESITE), highly weathered, soft, very dense, very dark brown (10 YR 2/2), wet, weathered/pulverized, BEDROCK","BEDROCK","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-42","","25.00","30.00","hard, light gray (2.5 YR 7/1), few SAND and trace GRAVEL, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Rock","SB-44","","43.00","45.00","SEDIMENTARY ROCK (MUDSTONE), highly weathered, soft, black (2.5 YR 2.5/1), fine grained tuff and ash, carbon enriched, NATIVE","BEDROCK","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-28","","5.00","7.50","CLAYEY SAND with GRAVEL (SC), dark brown (10 YR 3/3), moist, medium dense, low to medium plasticity, NATIVE","SC","","","","","","SC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Rock","SB-6A","","25.00","70.00","SEDIMENTARY ROCK (SHALE), highly weathered, moderately, soft, moist, dark gray (GLEY 4/N), weathered, fractured, BEDROCK","BEDROCK","","","","","","Bedrock","","","","","","","moist","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-10","","80.00","85.00","Very stiff to hard, blueish gray, little GRAVEL, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-10","","125.00","126.40"," dark bluish gray (GLEY 4/5B), BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-38","","5.00","10.00","loose, dark greenish gray (GLEY 4/N), dry, some medium to coarse grained angular GRAVEL, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-41","","7.50","10.00","some SAND, trace GRAVEL, medium stiff, dark brown (10 YR 3/3), dry to moist, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-8","","40.80","40.80","Terminated @ 40.8 ft bgs because of SPT and coring refusal. GW not encountered ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","SB-18","","80.00","110.00","very hard, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Rock","SB-17","","90.00","90.50","moderately hard, moderately weathered, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Rock","SB-5","","35.00","50.00","IGNEOUS ROCK (ANDESITE), HIGHLY WEATHERED, MODERATELY HARD, light gray (5 YR 7/1), fine to medium SAND, GRAVEL up to 0.5"", weathered ANDESITE, BEDROCK","BEDROCK","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-24","","6.00","10.00","Poorly graded GRAVEL with SAND (GP), very dense dry, gray (10 YR 5/1), very low plasticity, NATIVE","GP","","","","","","SW-SC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","","SB-9","","78.00","80.00","slightly weathered, moderately hard, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Rock","SB-24","","20.00","61.50","slightly weathered, hard, gray (10 YR 5/1), BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-13","","15.00","20.00","Hard, brown (10 YR 5/1), NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-10","","35.00","50.00"," Dark gray, some cemented fragments, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-37","","15.00","20.00","very pale brown (10 YR 8/3), moist, medium plasticity, GRAVEL angular up to 2"", NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-13","","22.00","25.00","Light olive gray (5YR 6/2), NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-10","","75.00","80.00","Hard, gray, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-46","","5.00","7.50","Well graded GRAVEL with CLAY, SAND, and SILT (GW-GC), medium dense, grayish brown (10 YR 4/2), dry, WASTE","GW-GC","","","","","","GW-GC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Rock","SB-5","","40.00","46.00","(7/10Y), fractured and weathered, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-34","","25.00","40.00","Poorly graded SAND with GRAVEL and CLAY (SP-SC), medium dense, light yellowish brown (2.5 Y 6/4), wet, medium to coarse SAND, angular GRAVEL, low plasticity, weakly cemented, NATIVE","SP-SC","","","","","","SP","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-19","","45.00","60.00","grayish red, weak cementation, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-12","","30.00","35.00","Hard, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-33","","0.00","7.50","Poorly Graded GRAVEL with SAND (GP), pinkish gray (7.5 YR 6/2), dry, very dense, some fine SAND, NATIVE","GP","","","","","","GP","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-14","","7.50","15.00","SANDY SILT with GRAVEL (ML), very stiff, fine to medium grained, WASTE","ML","","","","","","ML","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-24","","40.00","50.00","IGNEOUS ROCK (ANDESITE), fresh, hard, gray (10 YR 5/1), BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-42","","2.50","5.00","SANDY lean CLAY (CL), very stiff, light yellowish brown (10 YR 6/4), dry, trace GRAVEL, WASTE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-36","","40.00","45.00","some GRAVEL, moist, dense, olive brown (2.5 YR 4/3), NATIVE ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-3","","15.00","20.00"," yellowish brown (10 YR 5/4), dry, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-2","","2.50","5.00","Lean CLAY with SAND (CL), very stiff, pale brown (7.5 YR 7/3), little fine sand, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-12","","0.00","5.00","CLAYEY SAND (SC), black (2.5 Y/1), medium dense, poorly graded, some broken ROCKS, angular GRAVEL, WASTE","SC","","","","","","SC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-16","","15.00","25.00"," very stiff, very dark grayish brown (10 YR 3/2), NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-3","","5.00","7.50","Poorly graded SAND with SILTY CLAY and GRAVEL (SP-SC), very dense, pale brown (10 YR 5/3), dry, NATIVE","SP-SC","","","","","","SP-SC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-11","","76.50","80.00","Weathered decomposed ANDESITE, volcanic pyroclastic flow, (GLEY 6/5G), NATIVE","","","","","","Lean CLAY with sand","CL","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-41","","2.50","7.50","few GRAVEL and SAND, very stiff, yellowish brown (10 YR 5/4), dry, mottled, iron oxide staining, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-46","","25.00","30.00","very dense, strong brown (7.5 YR 5/6), wet, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","","SB-7","","60.00","61.50"," Lean CLAY with SAND, hard, light greenish gray (GLEY 7/5BG), damp, fine to medium SAND, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","","SB-6A","","75.00","79.00","moderately weathered, moderately hard, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-44","","30.10","35.00","Elastic SILT (MH), stiff, pale brown (2.5 YR 8/2), moist, NATIVE","MH","","","","","","MH","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-3","","10.00","60.10","SEDIMENTARY ROCK (MUDSTONE/CLAYSTONE), highly weathered, grayish brown (10 YR 5/2), BEDROCK ","BEDROCK","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-45","","26.00","40.00","Well graded SAND with GRAVEL (SW), very loose, yellowish brown (10 YR 4/4), wet, NATIVE","SW","","","","","","SW","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-45","","50.00","","Terminated @ 50.0 ft bgs because of SPT and coring refusal. GW encountered @ 27.0 ft bgs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-43","","17.00","20.00","brownish yellow (10 YR 6/6)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-45","","5.00","7.50","Well graded SAND with CLAY (SW-SC), loose, dark yellowish brown (10 YR 4/4), dry, WASTE","SW-SC","","","","","","SW-SC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-9","","27.00","35.00","SANDY elastic SILT (MH), hard, dark greenish gray (GLEY 4/5G), damp, medium to high plasticity, decomposed MUDSTONE, NATIVE","MH","","","","","Elastic SILT with sand","MH","","","","","","","moist","medium to high plasticity","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-15","","0.00","2.50","Poorly graded GRAVEL with CLAY and SAND (GP-GC), dry, very dark gray (10 YR 3/1), WASTE","GP-GC","","","","","","GP-GC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-5","","60.00","60.42","(5/N) low to medium plasticity, medium to coarse grained SAND, some white ROCK, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-11","","65.00","70.00","(GLEY 4/5G), NATIVE","","","","","","Lean CLAY with sand","CL","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-20","","15.00","15.30","ANDESITE (BEDROCK) wet, moderately weathered, hard, NATIVE","BEDROCK","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-10","","0.00","5.00","Lean CLAY with SAND (CL), little fine SAND, very stiff, grayish brown, dry, WASTE","CL","","","","","Lean CLAY with sand","CL","","","","","","","dry","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-43","","22.50","25.00","IGNEOUS ROCK (ANDESITE), highly weathered, soft, fine GRAINED weakly vesicular, BEDROCK","BEDROCK","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-18","","7.50","14.00","fine SAND little GRAVEL, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-24","","60.10","","Terminated @ 60.1 ft bgs because of SPT and coring refusal. GW not encountered. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-32","","5.00","7.50","few SAND, brown (10 YR 5/3), WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-10","","85.00","93.00","Lean CLAY with GRAVEL (CL), hard blueish gray, moist, SILTSTONE fragments, little fine SAND, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-25","","0.00","5.00","Poorly Graded SAND with GRAVEL (SP), dry, very dense, reddish brown and light gray, weathered ANDESITE, WASTE","SP","","","","","","SP","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-45","","35.00","40.00","brown (10 YR 4/3), dense ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-4","","7.50","10.00","Poorly graded SAND with CLAY and GRAVEL (SP-SC), medium dense, light yellowish brown (10 YR 6/4), dry, WASTE","SP-SC","","","","","","SP-SC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-15","","2.50","20.00","SANDY Lean CLAY (CL), gray (10 YR 3/1), dry, WASTE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","","SB-18","","60.00","70.00","fresh, very hard, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-24","","35.00","40.00","SEDIMENTARY ROCK (SHALE), moderately weathered, moderately hard, moist, dark gray (10 YR 3/1), laminated, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-42","","0.00","2.50","Well graded SAND with CLAY (SW-SC), light yellowish brown (10 YR 6/4), dry, few GRAVEL, WASTE","SW-SC","","","","","","SW-SC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-11","","7.50","50.00","SILTY SAND (SM), mostly SILT, WASTE","SM","","","","","Gravelly SILT with sand","SM","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-9","","0.00","2.50","Poorly graded SAND (SP), loose, reddish brown, WASTE","SP","","","","","Poorly-graded SAND","SP","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-9","","35.00","60.00","Lean CLAY with SAND (CL), stiff, very dark greenish gray (GLEY 3/10Y), damp, medium to high plasticity, NATIVE","CL","","","","","Lean CLAY with sand","CL","","","","","","","moist","medium to high plasticity","","","","","","","","","","","","","","","","None"
"","","Soil","SB-7","","15.00","20.00","CLAYEY GRAVEL with SAND (GC) medium dense, greenish gray (GLEY 5/1 10Y), moist low plasticity, fine to coarse SAND, NATIVE","GC","","","","","Poorly-graded SAND with clay and gravel","GC","","","","","","","dry","low plasticity","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-9","","7.50","10.00","SILT with SAND (ML), stiff, dry, light greenish gray (GLEY 7/1 10Y), fine to medium SAND, medium to high plasticity, medium cementation, NATIVE","ML","","","","","Gravelly SILT with sand","ML","","","","","","","dry","medium to high plasticity","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-7","","5.00","9.00","SILTY SAND with GRAVEL (SM) dry, reddish gray (5 YR 5/2), medium dense, fine to coarse angular GRAVEL up to 4"", low to medium plasticity, WASTE","SM","","","","","Poorly-graded SAND with silt and gravel","SM","","","","","","","dry","low to medium plasticity","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-9","","2.50","5.00","CLAYEY SAND with GRAVEL (SC), medium dense, dry, reddish yellow (7.5 Y 6/6), fine to coarse SAND, low plasticity, cemented, WASTE ","SC","","","","","Poorly-graded SAND with clay and gravel","SP-SC","","","","","","","dry","low plasticity","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-5","","7.50","10.00","SANDY lean CLAY with GRAVEL (CL), very stiff, greyish brown (5 YR 6/2), dry, fine SAND, angular GRAVEL, medium plasticity, WASTE","CL","","","","","Lean CLAY with sand","CL","","","","","","","dry","medium plasticity","fine","angular","","","","","","","","","","","","","","Solid"
"","","Soil","SB-6A","","0.00","30.00","SANDY lean CLAY (CL), stiff, red (2.5 YR 4/6), dry, fine to medium SAND, medium plasticity, NATIVE","CL","","","","","Gravelly Lean CLAY with sand","CL","","","","","","","dry","medium plasticity","fine to medium","","","","","","","","","","","","","","","None"
"","","Soil","SB-5","","0.00","5.00","CLAYEY GRAVEL with SAND (GC), light brown (7.5 YR 6/2), dry, coarse, angular GRAVEL, low to medium plasticity, WASTE","GC","","","","","Clayey GRAVEL with sand","GC","","","","","","","dry","low to medium plasticity","coarse","angular","","","","","","","","","","","","","","None"
"","","Soil","SB-5","","10.00","15.70","CLAYEY GRAVEL with SAND (GC), very dense, light gray (7.5 YR 5/2), moist, angular GRAVEL, medium to coarse SAND, low plasticity, NATIVE","GC","","","","","Poorly-graded GRAVEL with clay and sand","GC","","","","","","","dry","low plasticity","medium to coarse","angular","","","","","","","","","","","","","","None"
